Scientific Name	Common Name	Federal Protected Status	Habit	Type	Native states
Aconitum Noveboracense 	Northern Wild Monkshood	Threatened	Herb	Buttercup	IA, NY, OH, WI
Allium Munzii 	Munz’s Onion	Endangered	Herb	Bulb	CA
Echinacea Laevigata	Smooth Coneflower	Endangered	Herb	Sunflower	AL, GA, MI, NC, PA, SC
Echinacea Tennesseensis 	Tennessee Purple Coneflower	Endangered	Herb	Sunflower	TN
Erigeron Decumbens	Willamette Daisy	Endangered	Herb	Daisy	OR
Erigeron Maguirei	Maguire Daisy	Threatened	Herb	Sunflower	UT
Erigeron Parishii	Parish’s Daisy	Threatened	Herb	Daisy	CA
Eriophyllum Latilobum	San Mateo Woolly Sunflower	Endangered	Herb	Sunflower	CA
Erythronium Propullans	Minnesota Dwarf Trout Lily	Endangered	Herb	Bulb	WI
Helianthus Schweinitzii	Schweinitz’s Sunflower	Endangered	Herb	Sunflower	NC, SC
Lilium Occidentale	Western Lily	Endangered	Herb	Bulb	CA, OR
Lilium Pardalinum	Pitkin Marsh Lily	Endangered	Herb	Bulb	CA
Lobelia Gaudichaudii	Koolau Range Lobelia	Endangered	Herb	Bellflower	HI
Lobelia Monostachya	Waianae Range Lobelia	Endangered	Shrub	Bellflower	HI
Lobelia Niihauensis 	Niihau Lobelia	Endangered	Shrub	Bellflower	HI
Lobelia Oahuensis	Oahu Lobelia	Endangered	Shrub	Bellflower	HI
Oenothera Avita	Eureka Valley Evening-Primrose	Endangered	Herb	Primrose	CA
Oenothera Deltoides	Antioch Dunes Evening-Primrose	Endangered	Herb	Primrose	CA
Platanthera Leucophaea	Eastern Prairie Fringed Orchid	Threatened	Herb	Orchid	IA, IL, IN, MA, MI, NY, OH, OK, PA, VA, WI
Platanthera Praeclara	Western Prairie Fringed Orchid	Threatened	Herb	Orchid	IA, KA, MI, MO, ND, NE, OK, SD, WY
Primula Cusickiana	Cusick’s Primrose	Threatened	Herb	Primrose	UT
Primula Maguirei	Maguire Primrose	Threatened	Herb	Primrose	UT
Ranunculus Acriformis	Autumn Buttercup	Endangered	Herb	Buttercup	CO, ID, MT, UT, WA, WY
Sisyrinchium Dichotomum	White Irisette	Endangered	Herb	Bulb	NC, SC
Hymenoxys Herbacea	Lakeside Daisy	Threatened	Herb	Daisy	MI
Trematolobelia Singularis	Lavaslope False Lobelia	Endangered	Shrub	Bellflower	HI
